"ID,""Descricao"",""ID_OCUPA_N"""
"262,""AUXILIAR DE SERVICOS DE IMPORTACAO E EXPORTACAO"",""411045"""
"263,""DATILOGRAFO"",""412105"""
"264,""DIGITADOR"",""412110"""
"265,""OPERADOR DE MENSAGENS DE TELECOMUNICACOES (CORREIO"",""412115"""
"266,""SUPERVISOR DE DIGITACAO E OPERACAO"",""412120"""
"267,""CONTINUO"",""412205"""
"268,""ANALISTA DE FOLHA DE PAGAMENTO"",""413105"""
"269,""AUXILIAR DE CONTABILIDADE"",""413110"""
"270,""AUXILIAR DE FATURAMENTO"",""413115"""
"271,""ATENDENTE DE AGENCIA"",""413205"""
"272,""CAIXA DE BANCO"",""413210"""
"273,""COMPENSADOR DE BANCO"",""413215"""
"274,""CONFERENTE DE SERVICOS BANCARIOS"",""413220"""
"275,""ESCRITURARIO DE BANCO"",""413225"""
"276,""OPERADOR DE COBRANCA BANCARIA"",""413230"""
"277,""ALMOXARIFE"",""414105"""
"278,""AVALIADOR DE BENS MOVEIS"",""354415"""
"279,""ARMAZENISTA"",""414110"""
"280,""BALANCEIRO"",""414115"""
"281,""APONTADOR DE MAO-DE-OBRA"",""414205"""
"282,""APONTADOR DE PRODUCAO"",""414210"""
"283,""CONFERENTE DE CARGA E DESCARGA"",""414215"""
"284,""ARQUIVISTA DE DOCUMENTOS"",""415105"""
"285,""CODIFICADOR DE DADOS"",""415115"""
"286,""FITOTECARIO"",""415120"""
"287,""KARDEXISTA"",""415125"""
"288,""OPERADOR DE MAQUINA COPIADORA (EXCETO OPERADOR DE"",""415130"""
"289,""CARTEIRO"",""415205"""
"290,""OPERADOR DE TRIAGEM E TRANSBORDO"",""415210"""
"291,""SUPERVISOR DE CAIXAS E BILHETEIROS (EXCETO CAIXA D"",""420105"""
"292,""SUPERVISOR DE COBRANCA"",""420110"""
"293,""SUPERVISOR DE COLETADORES DE APOSTAS E DE JOGOS"",""420115"""
"294,""SUPERVISOR DE RECEPCIONISTAS"",""420125"""
"295,""SUPERVISOR DE TELEFONISTAS"",""420130"""
"296,""SUPERVISOR DE TELEMARKETING E ATENDIMENTO"",""420135"""
"297,""ATENDENTE COMERCIAL (AGENCIA POSTAL)"",""421105"""
"298,""BILHETEIRO DE TRANSPORTES COLETIVOS"",""421110"""
"299,""BILHETEIRO NO SERVICO DE DIVERSOES"",""421115"""
"300,""EMISSOR DE PASSAGENS"",""421120"""
"301,""OPERADOR DE CAIXA"",""421125"""
"302,""RECEBEDOR DE APOSTAS (LOTERIA)"",""421205"""
"303,""RECEBEDOR DE APOSTAS (TURFE)"",""421210"""
"304,""COBRADOR EXTERNO"",""421305"""
"305,""COBRADOR INTERNO"",""421310"""
"306,""LOCALIZADOR (COBRADOR)"",""421315"""
"307,""RECEPCIONISTA, EM GERAL"",""422105"""
"308,""RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO"",""422110"""
"309,""PRODUTOR AGRICOLA POLIVALENTE"",""612005"""
"310,""PRODUTOR DE ARROZ"",""612105"""
"311,""PRODUTOR DE CANA-DE-ACUCAR"",""612110"""
"312,""PRODUTOR DE CEREAIS DE INVERNO"",""612115"""
"313,""PRODUTOR DE GRAMINEAS FORRAGEIRAS"",""612120"""
"314,""PRODUTOR DE MILHO E SORGO"",""612125"""
"315,""PRODUTOR DE ALGODAO"",""612205"""
"316,""PRODUTOR DE CURAUA"",""612210"""
"317,""PRODUTOR DE JUTA"",""612215"""
"318,""PRODUTOR DE RAMI"",""612220"""
"319,""PRODUTOR DE SISAL"",""612225"""
"320,""PRODUTOR NA OLERICULTURA DE LEGUMES"",""612305"""
"321,""PRODUTOR NA OLERICULTURA DE RAIZES, BULBOS E TUBER"",""612310"""
"322,""PRODUTOR NA OLERICULTURA DE TALOS, FOLHAS E FLORES"",""612315"""
"323,""PRODUTOR NA OLERICULTURA DE FRUTOS E SEMENTES"",""612320"""
"324,""PRODUTOR DE FLORES DE CORTE"",""612405"""
"325,""PRODUTOR DE FLORES EM VASO"",""612410"""
"326,""PRODUTOR DE FORRACOES"",""612415"""
"327,""PRODUTOR DE PLANTAS ORNAMENTAIS"",""612420"""
"328,""PRODUTOR DE ARVORES FRUTIFERAS"",""612505"""
"329,""PRODUTOR DE ESPECIES FRUTIFERAS RASTEIRAS"",""612510"""
"330,""PRODUTOR DE ESPECIES FRUTIFERAS TREPADEIRAS"",""612515"""
"331,""CAFEICULTOR"",""612605"""
"332,""PRODUTOR DE CACAU"",""612610"""
"333,""PRODUTOR DE ERVA-MATE"",""612615"""
"334,""PRODUTOR DE FUMO"",""612620"""
"335,""PRODUTOR DE GUARANA"",""612625"""
"336,""PRODUTOR DA CULTURA DE AMENDOIM"",""612705"""
"337,""PRODUTOR DA CULTURA DE CANOLA"",""612710"""
"338,""PRODUTOR DA CULTURA DE COCO-DA-BAIA"",""612715"""
"339,""PRODUTOR DA CULTURA DE DENDE"",""612720"""
"340,""PRODUTOR DA CULTURA DE GIRASSOL"",""612725"""
"341,""PRODUTOR DA CULTURA DE LINHO"",""612730"""
"342,""PRODUTOR DA CULTURA DE MAMONA"",""612735"""
"343,""PRODUTOR DA CULTURA DE SOJA"",""612740"""
"344,""PRODUTOR DE ESPECIARIAS"",""612805"""
"345,""PRODUTOR DE PLANTAS AROMATICAS E MEDICINAIS"",""612810"""
"346,""CRIADOR EM PECUARIA POLIVALENTE"",""613005"""
"347,""CRIADOR DE ANIMAIS DOMESTICOS"",""613010"""
"348,""CRIADOR DE ASININOS E MUARES"",""613105"""
"349,""CRIADOR DE BOVINOS (CORTE)"",""613110"""
"350,""CRIADOR DE BOVINOS (LEITE)"",""613115"""
"351,""CRIADOR DE BUBALINOS (CORTE)"",""613120"""
